Wellbore name,q_oil,q_gas,q_wat,q_liq,WC,GOR,AVG_WHP_P,AVG_WHT_P,AVG_DOWNHOLE_TEMPERATURE,AVG_CHOKE_SIZE_P,ON_STREAM_HRS,delta_P,BB_pred
15/9-F-1 C,487.0,70281.0,367.0,854.0,0.4297423887587822,144.31416837782342,59.703,54.042,107.788,47.86851,24.0,183.947,249.97131688981042
15/9-F-1 C,170.0,27228.0,734.0,904.0,0.8119469026548672,160.16470588235293,29.337,66.237,108.032,51.28629,24.0,213.861,275.75355936477496
15/9-F-1 C,597.0,86569.0,419.0,1016.0,0.4124015748031496,145.0067001675042,62.17,53.399,107.881,49.04302,24.0,177.743,255.30689003175448
15/9-F-1 C,157.0,24965.0,685.0,842.0,0.8135391923990499,159.01273885350318,28.323,68.369,108.001,51.57828,24.0,214.203,273.53503902610237
15/9-F-1 C,610.0,88850.0,426.0,1036.0,0.4111969111969112,145.65573770491804,59.51,56.32,107.908,50.15571,24.0,174.696,255.23972597151524
15/9-F-1 C,237.95744680851064,37898.55319148936,864.0,1101.957446808511,0.7840593141797961,159.26609442060084,28.228,71.199,108.072,52.31771,23.5,211.831,275.4335052557952
15/9-F-1 C,581.0,85171.0,438.0,1019.0,0.4298331697742885,146.59380378657488,41.925,43.698,107.536,55.80191,24.0,188.149,258.8173659038287
15/9-F-1 C,258.0,39859.0,871.0,1129.0,0.7714791851195748,154.4922480620155,29.782,71.279,108.12,52.69473,24.0,206.539,274.9333793954398
15/9-F-1 C,461.0,66952.0,330.0,791.0,0.4171934260429835,145.23210412147506,45.859,53.748,107.82,50.53954,24.0,184.952,249.98185747322265
15/9-F-1 C,200.0,31091.0,727.0,927.0,0.7842502696871629,155.455,28.295,68.107,108.055,52.14367,24.0,207.15,274.4090378881083
15/9-F-1 C,453.0,64394.0,307.0,760.0,0.4039473684210526,142.15011037527594,50.923,52.478,107.822,48.98548,24.0,178.166,249.09516150581342
15/9-F-1 C,199.0,30912.0,695.0,894.0,0.7774049217002237,155.33668341708542,27.432,70.527,108.048,52.30153,24.0,206.74,273.7617863075812
15/9-F-1 C,419.0,61534.0,293.0,712.0,0.4115168539325842,146.85918854415274,50.387,52.669,107.817,48.97446,24.0,178.496,249.31830637182753
15/9-F-1 C,197.0,30602.0,672.0,869.0,0.7733026467203682,155.34010152284264,26.671,70.704,108.034,52.33153,24.0,206.494,271.1140984756799
15/9-F-1 C,442.0,64668.0,293.0,735.0,0.3986394557823129,146.30769230769232,50.387,52.669,107.817,48.97446,24.0,178.496,248.58923329501218
15/9-F-1 C,198.0,30751.0,704.0,902.0,0.7804878048780488,155.3080808080808,26.546,69.806,108.056,52.80911,24.0,205.18,274.02292863928204
15/9-F-1 C,447.0,65213.0,296.0,743.0,0.3983849259757739,145.8903803131991,50.387,52.669,107.817,48.97446,24.0,178.496,248.59884402691924
15/9-F-1 C,258.0,40020.0,781.0,1039.0,0.7516843118383061,155.11627906976744,26.872,73.306,108.108,53.83306,24.0,202.688,273.2126620475098
15/9-F-1 C,791.0,118909.0,300.0,1091.0,0.2749770852428964,150.32743362831857,100.264,45.621,107.43,45.95212,24.0,191.886,245.1525869457225
15/9-F-1 C,290.51955008034275,42537.97536154258,231.3872522763792,521.906802356722,0.4433497536945813,146.4203539823009,51.012,52.243,107.209,29.40022,18.67,173.063,251.34098436328628
15/9-F-1 C,261.84971098265896,42367.63005780347,854.9132947976879,1116.7630057803467,0.7655279503105591,161.80132450331126,26.382,69.343,107.987,33.37632,13.84,201.34,274.70067633425816
15/9-F-1 C,194.0,31122.0,1122.0,1316.0,0.8525835866261399,160.42268041237114,29.217,76.908,108.173,54.51911,24.0,220.727,280.64029860653255
15/9-F-1 C,483.53140916808144,70097.11375212224,384.3803056027164,867.9117147707979,0.4428794992175274,144.96910112359552,58.985,48.257,107.561,36.35494,17.67,188.739,251.45584193499553
15/9-F-1 C,206.0,32916.0,970.0,1176.0,0.8248299319727891,159.7864077669903,30.495,74.297,108.149,53.01709,24.0,215.683,278.00269049110057
