Strategy,Fold,Regime,Precision,Recall,F1,Support
LOWO,F-1 C,Low,0.0,0.0,0.0,0
LOWO,F-1 C,Medium,0.9909,0.7517,0.8549,290
LOWO,F-1 C,High,0.5765,0.98,0.7259,100
LOWO,F-1 C,MACRO AVG,0.5225,0.5772,0.5269,390
LOWO,F-11 H,Low,0.0,0.0,0.0,0
LOWO,F-11 H,Medium,0.9445,1.0,0.9715,817
LOWO,F-11 H,High,1.0,0.8049,0.8919,246
LOWO,F-11 H,MACRO AVG,0.6482,0.6016,0.6211,1063
LOWO,F-12 H,Low,0.0,0.0,0.0,0
LOWO,F-12 H,Medium,0.8318,1.0,0.9082,707
LOWO,F-12 H,High,1.0,0.2353,0.381,187
LOWO,F-12 H,MACRO AVG,0.6106,0.4118,0.4297,894
LOWO,F-14 H,Low,0.0,0.0,0.0,0
LOWO,F-14 H,Medium,0.9954,0.471,0.6395,915
LOWO,F-14 H,High,0.7717,0.9988,0.8707,1638
LOWO,F-14 H,MACRO AVG,0.589,0.4899,0.5034,2553
LOWO,F-15 D,Low,0.0,0.0,0.0,0
LOWO,F-15 D,Medium,0.9875,0.993,0.9902,714
LOWO,F-15 D,High,0.5833,0.4375,0.5,16
LOWO,F-15 D,MACRO AVG,0.5236,0.4768,0.4967,730
Chrono,F-1 C,Low,0.0,0.0,0.0,0
Chrono,F-1 C,Medium,1.0,0.4286,0.6,28
Chrono,F-1 C,High,0.7576,1.0,0.8621,50
Chrono,F-1 C,MACRO AVG,0.5859,0.4762,0.4874,78
Chrono,F-11 H,Low,0.0,0.0,0.0,0
Chrono,F-11 H,Medium,0.0,0.0,0.0,0
Chrono,F-11 H,High,1.0,0.9812,0.9905,213
Chrono,F-11 H,MACRO AVG,0.3333,0.3271,0.3302,213
Chrono,F-12 H,Low,0.0,0.0,0.0,0
Chrono,F-12 H,Medium,0.029,1.0,0.0563,4
Chrono,F-12 H,High,1.0,0.2343,0.3796,175
Chrono,F-12 H,MACRO AVG,0.343,0.4114,0.1453,179
Chrono,F-14 H,Low,0.0,0.0,0.0,0
Chrono,F-14 H,Medium,0.0,0.0,0.0,0
Chrono,F-14 H,High,1.0,1.0,1.0,511
Chrono,F-14 H,MACRO AVG,0.3333,0.3333,0.3333,511
Chrono,F-15 D,Low,0.0,0.0,0.0,0
Chrono,F-15 D,Medium,0.9478,0.9621,0.9549,132
Chrono,F-15 D,High,0.5833,0.5,0.5385,14
Chrono,F-15 D,MACRO AVG,0.5104,0.4874,0.4978,146
Pooled,All,Low,0.0,0.0,0.0,0
Pooled,All,Medium,0.9853,0.9838,0.9845,679
Pooled,All,High,0.9754,0.9776,0.9765,447
Pooled,All,MACRO AVG,0.6536,0.6538,0.6537,1126
