model,feature,importance
Plain RF,q_oil,0.025899671705833738
Plain RF,q_gas,0.0186988299983658
Plain RF,q_wat,0.18838522376661868
Plain RF,q_liq,0.01155196360681226
Plain RF,WC,0.18504321999872322
Plain RF,GOR,0.008564698802463657
Plain RF,GLR,0.3867706025819146
Plain RF,ln_qliq,0.015482452422676034
Plain RF,ln_qoil,0.02692815393088813
Plain RF,ln_qgas,0.020472825615137576
Plain RF,dT,0.06687575603423253
Plain RF,choke_pct,0.04355689297024031
Plain RF,ON_STREAM_HRS,0.0017697085660936481
Hybrid RF,q_oil,0.006319103920389112
Hybrid RF,q_gas,0.037421549375389884
Hybrid RF,q_wat,0.004525559793009404
Hybrid RF,q_liq,0.2169350687535566
Hybrid RF,WC,0.0004152479183255932
Hybrid RF,GOR,0.0003056716117844812
Hybrid RF,GLR,0.000568633052537474
Hybrid RF,ln_qliq,0.2577363879533179
Hybrid RF,ln_qoil,0.008831826892415472
Hybrid RF,ln_qgas,0.02651254144892752
Hybrid RF,dT,0.014238068568459996
Hybrid RF,choke_pct,0.004623363688416984
Hybrid RF,ON_STREAM_HRS,0.00019645549588631655
Hybrid RF,delta_P_baseline,0.4213705215275833
