Date of Production,Wellbore name,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_CHOKE_UOM,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,BORE_WI_VOL,FLOW_KIND,WELL_TYPE,q_oil,q_gas,q_wat,q_liq,WC,GOR,GLR,ln_qliq,ln_qoil,ln_qgas,dT,choke_pct,delta_P_measured,cv_qliq,delta_P_baseline,residual,well_short
2014-04-22,15/9-F-1 C,24.0,289.421,106.353,182.059,0.0,43.34345,%,107.362,37.939,78.935,631.0,90439.0,0.0,,production,OP,631.0,90439.0,0.0,631.0,0.0,143.32646592709983,143.32646592709983,6.447305862541213,6.447305862541213,11.412430869276376,68.41399999999999,43.34345,182.059,,150.6471218784717,31.411878121528304,F-1 C
2014-04-23,15/9-F-1 C,24.0,270.24,107.644,171.053,,47.16752,%,99.187,60.757,70.627,1166.0,165720.0,0.0,,production,OP,1166.0,165720.0,0.0,1166.0,0.0,142.12692967409947,142.12692967409947,7.061334366910438,7.061334366910438,12.018054896191337,46.88700000000001,47.16752,171.053,,165.28475652179188,5.76824347820812,F-1 C
2014-04-28,15/9-F-1 C,24.0,235.021,108.042,157.683,,50.73588,%,77.338,67.848,48.708,1346.0,192900.0,0.0,,production,OP,1346.0,192900.0,0.0,1346.0,0.0,143.31352154531947,143.31352154531947,7.204892510204673,7.204892510204673,12.16992719889382,40.194,50.73588,157.683,0.23553332764992824,166.56498260375093,-8.881982603750942,F-1 C
2014-04-29,15/9-F-1 C,24.0,232.744,107.988,156.795,,50.11392,%,75.949,65.707,47.376,1279.0,184900.0,0.0,,production,OP,1279.0,184900.0,0.0,1279.0,0.0,144.5660672400313,144.5660672400313,7.153833801578843,7.153833801578843,12.127570417375216,42.281000000000006,50.11392,156.79500000000002,0.0898746005620291,161.9847038137368,-5.18970381373677,F-1 C
2014-04-30,15/9-F-1 C,24.0,233.298,107.893,157.179,,48.92679,%,76.118,62.796,47.611,1226.0,177108.0,0.0,,production,OP,1226.0,177108.0,0.0,1226.0,0.0,144.46003262642742,144.46003262642742,7.111512116496157,7.111512116496157,12.084514994969776,45.097,48.92679,157.18,0.08038054100232093,159.23487158213447,-2.054871582134467,F-1 C
2014-05-01,15/9-F-1 C,24.0,231.089,107.877,156.399,,48.93863,%,74.69,62.377,46.196,1213.0,174609.0,0.0,,production,OP,1213.0,174609.0,0.0,1213.0,0.0,143.94806265457544,143.94806265457544,7.10085190894405,7.10085190894405,12.070304467450923,45.49999999999999,48.93863,156.399,0.04665888048485573,158.07875316910855,-1.679753169108551,F-1 C
2014-05-02,15/9-F-1 C,24.0,231.419,107.817,156.69,,48.3037,%,74.729,60.747,46.15,1074.0,154871.0,0.0,,production,OP,1074.0,154871.0,0.0,1074.0,0.0,144.2001862197393,144.2001862197393,6.97914527506881,6.97914527506881,11.95034779131785,47.06999999999999,48.3037,156.69,0.08001861886020019,150.78695581706702,5.903044182932973,F-1 C
2014-05-03,15/9-F-1 C,24.0,230.766,107.795,156.606,,48.1735,%,74.16,60.628,45.733,1044.0,147930.0,0.0,,production,OP,1044.0,147930.0,0.0,1044.0,0.0,141.69540229885058,141.69540229885058,6.950814768442584,6.950814768442584,11.904494467886282,47.167,48.1735,156.606,0.09971243962882224,149.6472270013878,6.958772998612204,F-1 C
2014-05-04,15/9-F-1 C,24.0,230.596,107.764,156.688,,47.46609,%,73.908,58.279,45.491,970.0,139378.0,0.0,,production,OP,970.0,139378.0,0.0,970.0,0.0,143.68865979381442,143.68865979381442,6.877296071497429,6.877296071497429,11.844944945628544,49.48499999999999,47.46609,156.688,0.11769922261378972,145.78207216424573,10.905927835754255,F-1 C
2014-05-05,15/9-F-1 C,24.0,229.424,107.78,156.429,,47.84002,%,72.994,54.905,44.549,946.0,136980.0,0.0,,production,OP,946.0,136980.0,0.0,946.0,0.0,144.79915433403806,144.79915433403806,6.852242569051878,6.852242569051878,11.827590208751896,52.875,47.84002,156.43,0.11929973069239198,144.310033510128,12.119966489872013,F-1 C
