Wellbore name,Date of Production,q_oil,q_gas,q_wat,q_liq,WC,GOR,AVG_WHP_P,AVG_WHT_P,AVG_DOWNHOLE_TEMPERATURE,AVG_CHOKE_SIZE_P,ON_STREAM_HRS,log_q_liq,log_q_oil,log_q_gas,GLR,dT,delta_P
15/9-F-1 C,2014-04-25,1249.0,178064.0,0.0,1249.0,0.0,142.5652522017614,89.988,64.547,107.971,48.53377,24.0,7.1308988302963465,7.1308988302963465,12.089903931155744,142.5652522017614,43.42400000000001,165.539
15/9-F-1 C,2014-04-26,1346.0,192602.0,0.0,1346.0,0.0,143.09212481426448,84.777,65.724,108.052,49.8445,24.0,7.205635176410364,7.205635176410364,12.16838635454884,143.09212481426448,42.328,162.42200000000003
15/9-F-1 C,2014-04-27,1350.0,194496.0,0.0,1350.0,0.0,144.07111111111112,80.837,66.934,108.054,50.29698,24.0,7.208600337960199,7.208600337960199,12.17817201775716,144.07111111111112,41.120000000000005,159.899
15/9-F-1 C,2014-04-28,1346.0,192900.0,0.0,1346.0,0.0,143.31352154531947,77.338,67.848,108.042,50.73588,24.0,7.205635176410364,7.205635176410364,12.169932382913561,143.31352154531947,40.194,157.683
15/9-F-1 C,2014-04-29,1279.0,184900.0,0.0,1279.0,0.0,144.5660672400313,75.949,65.707,107.988,50.11392,24.0,7.154615356913663,7.154615356913663,12.127575825689417,144.5660672400313,42.281000000000006,156.79500000000002
15/9-F-1 C,2014-04-30,1226.0,177108.0,0.0,1226.0,0.0,144.46003262642742,76.118,62.796,107.893,48.92679,24.0,7.112327444710911,7.112327444710911,12.084520641226167,144.46003262642742,45.097,157.18
15/9-F-1 C,2014-05-01,1213.0,174609.0,0.0,1213.0,0.0,143.94806265457544,74.69,62.377,107.877,48.93863,24.0,7.101675971619444,7.101675971619444,12.070310194516173,143.94806265457544,45.49999999999999,156.399
15/9-F-1 C,2014-05-02,1074.0,154871.0,0.0,1074.0,0.0,144.2001862197393,74.729,60.747,107.817,48.3037,24.0,6.980075940561763,6.980075940561763,11.950354248283785,144.2001862197393,47.06999999999999,156.69
15/9-F-1 C,2014-05-03,1044.0,147930.0,0.0,1044.0,0.0,141.69540229885058,74.16,60.628,107.795,48.1735,24.0,6.951772164398911,6.951772164398911,11.904501227817466,141.69540229885058,47.167,156.606
15/9-F-1 C,2014-05-04,970.0,139378.0,0.0,970.0,0.0,143.68865979381442,73.908,58.279,107.764,47.46609,24.0,6.878326468291325,6.878326468291325,11.844952120336265,143.68865979381442,49.48499999999999,156.688
15/9-F-1 C,2014-05-05,946.0,136980.0,0.0,946.0,0.0,144.79915433403806,72.994,54.905,107.78,47.84002,24.0,6.853299093186078,6.853299093186078,11.827597509061064,144.79915433403806,52.875,156.43
15/9-F-1 C,2014-05-06,1003.0,144950.0,0.0,1003.0,0.0,144.51645064805584,70.952,58.883,107.86,49.00558,24.0,6.911747300251674,6.911747300251674,11.88415103325667,144.51645064805584,48.977,154.95
15/9-F-1 C,2014-05-07,925.0,135000.0,0.0,925.0,0.0,145.94594594594594,70.71,57.426,107.838,47.9204,24.0,6.8308742346461795,6.8308742346461795,11.813037464800539,145.94594594594594,50.41199999999999,155.058
